label,num_features,reduction_methos,sensivity,specificity,precision
blues,1,None,0.5,0.7388888888888889,0.17543859649122806
blues,4,None,0.95,0.65,0.23170731707317074
blues,7,None,0.85,0.65,0.2125
blues,10,None,0.95,0.6611111111111111,0.2375
blues,13,None,0.9,0.6444444444444445,0.21951219512195122
blues,16,None,0.9,0.6555555555555556,0.225
blues,19,None,0.9,0.6222222222222222,0.20930232558139536
blues,22,None,0.9,0.6444444444444445,0.21951219512195122
blues,25,None,0.95,0.6,0.2087912087912088
blues,28,None,0.95,0.6166666666666667,0.2159090909090909
blues,31,None,0.95,0.6222222222222222,0.21839080459770116
blues,34,None,0.95,0.6277777777777778,0.22093023255813954
blues,37,None,1.0,0.6277777777777778,0.22988505747126436
blues,40,None,1.0,0.6388888888888888,0.23529411764705882
blues,43,None,1.0,0.6333333333333333,0.23255813953488372
blues,46,None,1.0,0.6222222222222222,0.22727272727272727
blues,49,None,1.0,0.6277777777777778,0.22988505747126436
blues,52,None,1.0,0.6166666666666667,0.2247191011235955
blues,55,None,1.0,0.6166666666666667,0.2247191011235955
blues,58,None,1.0,0.5944444444444444,0.21505376344086022
blues,61,None,0.95,0.6,0.2087912087912088
blues,64,None,0.95,0.6166666666666667,0.2159090909090909
blues,67,None,0.95,0.6111111111111112,0.21348314606741572
blues,70,None,0.95,0.6111111111111112,0.21348314606741572
blues,73,None,0.95,0.6,0.2087912087912088
blues,76,None,0.95,0.6166666666666667,0.2159090909090909
blues,79,None,0.95,0.6333333333333333,0.2235294117647059
blues,82,None,0.95,0.6333333333333333,0.2235294117647059
blues,85,None,1.0,0.6333333333333333,0.23255813953488372
blues,88,None,0.95,0.6388888888888888,0.2261904761904762
blues,91,None,0.95,0.6277777777777778,0.22093023255813954
blues,94,None,1.0,0.6222222222222222,0.22727272727272727
blues,97,None,1.0,0.6222222222222222,0.22727272727272727
blues,100,None,1.0,0.6111111111111112,0.2222222222222222
blues,103,None,1.0,0.6222222222222222,0.22727272727272727
blues,106,None,1.0,0.6166666666666667,0.2247191011235955
blues,109,None,1.0,0.6166666666666667,0.2247191011235955
blues,112,None,1.0,0.6166666666666667,0.2247191011235955
blues,115,None,1.0,0.6166666666666667,0.2247191011235955
blues,118,None,1.0,0.6222222222222222,0.22727272727272727
blues,121,None,1.0,0.6333333333333333,0.23255813953488372
blues,124,None,0.95,0.6388888888888888,0.2261904761904762
blues,127,None,0.95,0.6444444444444445,0.2289156626506024
blues,130,None,0.95,0.6444444444444445,0.2289156626506024
blues,133,None,1.0,0.6444444444444445,0.23809523809523808
blues,136,None,1.0,0.65,0.24096385542168675
blues,139,None,1.0,0.65,0.24096385542168675
blues,142,None,0.95,0.6444444444444445,0.2289156626506024
blues,145,None,0.95,0.65,0.23170731707317074
blues,148,None,0.95,0.65,0.23170731707317074
blues,151,None,0.95,0.65,0.23170731707317074
blues,154,None,0.95,0.65,0.23170731707317074
blues,157,None,0.95,0.6444444444444445,0.2289156626506024
blues,160,None,0.95,0.6444444444444445,0.2289156626506024
blues,163,None,0.95,0.6444444444444445,0.2289156626506024
blues,166,None,0.95,0.6444444444444445,0.2289156626506024
blues,169,None,0.95,0.6444444444444445,0.2289156626506024
blues,172,None,0.95,0.6444444444444445,0.2289156626506024
blues,175,None,0.95,0.6444444444444445,0.2289156626506024
blues,178,None,0.95,0.6444444444444445,0.2289156626506024
blues,181,None,0.95,0.65,0.23170731707317074
blues,184,None,0.95,0.6611111111111111,0.2375
blues,187,None,0.95,0.6555555555555556,0.2345679012345679
blues,190,None,0.95,0.6611111111111111,0.2375
blues,193,None,0.95,0.6555555555555556,0.2345679012345679
blues,196,None,0.95,0.6555555555555556,0.2345679012345679
blues,1,PCA,1.0,0.0,0.1
blues,4,PCA,0.95,0.65,0.23170731707317074
blues,7,PCA,0.85,0.65,0.2125
blues,10,PCA,0.95,0.6611111111111111,0.2375
blues,13,PCA,0.9,0.6444444444444445,0.21951219512195122
blues,16,PCA,0.9,0.6555555555555556,0.225
blues,19,PCA,0.9,0.6222222222222222,0.20930232558139536
blues,22,PCA,0.9,0.6444444444444445,0.21951219512195122
blues,25,PCA,0.95,0.6,0.2087912087912088
blues,28,PCA,0.95,0.6166666666666667,0.2159090909090909
blues,31,PCA,0.95,0.6222222222222222,0.21839080459770116
blues,34,PCA,0.95,0.6277777777777778,0.22093023255813954
blues,37,PCA,1.0,0.6277777777777778,0.22988505747126436
blues,40,PCA,1.0,0.6388888888888888,0.23529411764705882
blues,43,PCA,1.0,0.6333333333333333,0.23255813953488372
blues,46,PCA,1.0,0.6222222222222222,0.22727272727272727
blues,49,PCA,1.0,0.6277777777777778,0.22988505747126436
blues,52,PCA,1.0,0.6166666666666667,0.2247191011235955
blues,55,PCA,1.0,0.6166666666666667,0.2247191011235955
blues,58,PCA,1.0,0.5944444444444444,0.21505376344086022
blues,61,PCA,0.95,0.6,0.2087912087912088
blues,64,PCA,0.95,0.6166666666666667,0.2159090909090909
blues,67,PCA,0.95,0.6111111111111112,0.21348314606741572
blues,70,PCA,0.95,0.6111111111111112,0.21348314606741572
blues,73,PCA,0.95,0.6,0.2087912087912088
blues,76,PCA,0.95,0.6166666666666667,0.2159090909090909
blues,79,PCA,0.95,0.6333333333333333,0.2235294117647059
blues,82,PCA,0.95,0.6333333333333333,0.2235294117647059
blues,85,PCA,1.0,0.6333333333333333,0.23255813953488372
blues,88,PCA,0.95,0.6388888888888888,0.2261904761904762
