label,num_features,reduction_methos,sensivity,specificity,precision
blues,1,None,0.0,1.0,nan
blues,4,None,0.0,1.0,nan
blues,7,None,0.0,1.0,nan
blues,10,None,0.0,1.0,nan
blues,13,None,0.0,1.0,nan
blues,16,None,0.15,1.0,1.0
blues,19,None,0.15,1.0,1.0
blues,22,None,0.3,0.9888888888888889,0.75
blues,25,None,0.3,0.9888888888888889,0.75
blues,28,None,0.3,0.9888888888888889,0.75
blues,31,None,0.3,0.9833333333333333,0.6666666666666666
blues,34,None,0.4,0.9833333333333333,0.7272727272727273
blues,37,None,0.45,0.9888888888888889,0.8181818181818182
blues,40,None,0.45,0.9777777777777777,0.6923076923076923
blues,43,None,0.5,0.9611111111111111,0.5882352941176471
blues,46,None,0.5,0.9777777777777777,0.7142857142857143
blues,49,None,0.4,0.9833333333333333,0.7272727272727273
blues,52,None,0.35,0.9833333333333333,0.7
blues,55,None,0.4,0.9833333333333333,0.7272727272727273
blues,58,None,0.35,0.9888888888888889,0.7777777777777778
blues,61,None,0.35,0.9888888888888889,0.7777777777777778
blues,64,None,0.45,0.9833333333333333,0.75
blues,67,None,0.45,0.9833333333333333,0.75
blues,70,None,0.5,0.9833333333333333,0.7692307692307693
blues,73,None,0.55,0.9833333333333333,0.7857142857142857
blues,76,None,0.5,0.9777777777777777,0.7142857142857143
blues,79,None,0.6,0.9888888888888889,0.8571428571428571
blues,82,None,0.6,0.9722222222222222,0.7058823529411765
blues,85,None,0.55,0.9666666666666667,0.6470588235294118
blues,88,None,0.6,0.9777777777777777,0.75
blues,91,None,0.6,0.9666666666666667,0.6666666666666666
blues,94,None,0.65,0.9666666666666667,0.6842105263157895
blues,97,None,0.65,0.9666666666666667,0.6842105263157895
blues,100,None,0.65,0.9666666666666667,0.6842105263157895
blues,103,None,0.65,0.9666666666666667,0.6842105263157895
blues,106,None,0.7,0.9666666666666667,0.7
blues,109,None,0.7,0.9611111111111111,0.6666666666666666
blues,112,None,0.65,0.9611111111111111,0.65
blues,115,None,0.65,0.95,0.5909090909090909
blues,118,None,0.65,0.95,0.5909090909090909
blues,121,None,0.7,0.95,0.6086956521739131
blues,124,None,0.7,0.9555555555555556,0.6363636363636364
