num_features,reduction_methos,sensivity_mean,sensivity_std,specificity_mean,specificity_std,precision_mean,precision_std
1,None,0.28,0.3207629792991842,0.9199999999999999,0.09136970229004059,0.1981727900323726,0.09136970229004059
4,None,0.43499999999999994,0.27693761832666297,0.9372222222222222,0.028090828578127797,0.4041751288303012,0.028090828578127797
7,None,0.41000000000000003,0.2786873995477131,0.9344444444444445,0.03226689113277704,0.36638188535602334,0.03226689113277704
10,None,0.43999999999999995,0.2836272984824353,0.9377777777777778,0.023247933076259563,0.39221800353194214,0.023247933076259563
13,None,0.45,0.25819888974716115,0.9388888888888889,0.02078698548207746,0.4263122322947838,0.02078698548207746
16,None,0.45999999999999996,0.22827858224351907,0.9400000000000001,0.020588062384721925,0.4511597707237812,0.020588062384721925
19,None,0.49000000000000005,0.21447610589527213,0.9433333333333331,0.02172278266461507,0.48663107188648985,0.02172278266461507
22,None,0.48500000000000004,0.21864481598143495,0.9427777777777777,0.020795232649821905,0.4783575080750004,0.020795232649821905
25,None,0.48,0.21369760566432808,0.9422222222222223,0.025418311017442186,0.480353252412076,0.025418311017442186
28,None,0.495,0.22041627284148813,0.9438888888888888,0.021667458041894436,0.4872968362906443,0.021667458041894436
31,None,0.555,0.18325756009871277,0.9505555555555555,0.023780258322210375,0.5616207624903277,0.023780258322210375
34,None,0.565,0.21737065119284157,0.9516666666666665,0.023722504118370208,0.5671850574120396,0.023722504118370208
37,None,0.57,0.23828088000882025,0.9522222222222221,0.022253065015999718,0.5646631652661063,0.022253065015999718
40,None,0.565,0.23339284955247072,0.9516666666666665,0.022688019475247068,0.5584014270043681,0.022688019475247068
43,None,0.565,0.21479964825131556,0.9516666666666665,0.022229936932477976,0.5626648506292469,0.022229936932477976
46,None,0.5950000000000001,0.20743138088962768,0.9549999999999998,0.023635608206869614,0.5993447790599493,0.023635608206869614
49,None,0.62,0.20976176963403032,0.9577777777777776,0.02445566521365804,0.6241639392599144,0.02445566521365804
52,None,0.645,0.21915240764768654,0.9605555555555556,0.02637832797121393,0.6502234753550542,0.02637832797121393
55,None,0.6599999999999999,0.22827858224351907,0.9622222222222222,0.024539657442188813,0.6599692346809052,0.024539657442188813
58,None,0.705,0.1935774321097948,0.9672222222222222,0.021508603567754983,0.7062009189640769,0.021508603567754983
61,None,0.715,0.18112303982529543,0.9683333333333332,0.021284215575103127,0.7186111111111111,0.021284215575103127
64,None,0.725,0.1903943276465977,0.9694444444444443,0.019815680147252504,0.7237339191969694,0.019815680147252504
67,None,0.72,0.1766981104093143,0.968888888888889,0.021308370168359302,0.7255020463563,0.021308370168359302
70,None,0.7100000000000001,0.17919573407620815,0.9677777777777777,0.02008213586922365,0.7122849983208039,0.02008213586922365
73,None,0.705,0.17232076034083776,0.9672222222222222,0.01822922178122181,0.7054956765314822,0.01822922178122181
76,None,0.72,0.16532795690182991,0.9688888888888888,0.02098402292476341,0.7251206894240949,0.02098402292476341
79,None,0.72,0.17511900715418263,0.9688888888888888,0.020654582953479553,0.7231428373304803,0.020654582953479553
82,None,0.7150000000000001,0.18863545089227882,0.9683333333333332,0.021919230709518983,0.7183488243782361,0.021919230709518983
85,None,0.705,0.1847671206922078,0.9672222222222221,0.019325030145473435,0.7048834507799374,0.019325030145473435
88,None,0.72,0.16363916944844767,0.9688888888888888,0.01873942317136818,0.7219208895679483,0.01873942317136818
91,None,0.72,0.17981471945681568,0.9688888888888888,0.018369772989092224,0.7189183556717882,0.018369772989092224
